date,infected,death,cured
"18/01/2020",4,0,0
"19/01/2020",17,0,0
"20/01/2020",136,4,0
"21/01/2020",60,2,0
"22/01/2020",62,0,0
"23/01/2020",70,6,3
"24/01/2020",77,15,0
"25/01/2020",46,7,0
"26/01/2020",80,18,2
"27/01/2020",892,22,0
"28/01/2020",315,19,0
"29/01/2020",356,25,7
"30/01/2020",378,30,21
"31/01/2020",576,33,36
"01/02/2020",894,32,32
"02/02/2020",1033,41,53
"03/02/2020",1242,48,79
"04/02/2020",1967,49,65
"05/02/2020",1766,52,63
"06/02/2020",1501,64,103
"07/02/2020",1985,67,164
"08/02/2020",1379,63,179
"09/02/2020",1921,73,167
"10/02/2020",1552,67,162
"11/02/2020",1104,72,171
